,precision,recall,f1-score,support
Spring,0.9392523364485982,0.6421725239616614,0.7628083491461101,313.0
Summer,0.752366334100793,0.7684870655866214,0.7603412616339194,3827.0
Fall,0.7073695535233997,0.6252971944840704,0.6638061585058052,2103.0
Winter,0.6591824985607369,0.7757452574525745,0.712729536258948,1476.0
accuracy,0.7257416763829512,0.7257416763829512,0.7257416763829512,0.7257416763829512
macro avg,0.7645426806583819,0.702925510371232,0.7249213263861956,7719.0
weighted avg,0.7298670139716937,0.7257416763829512,0.7250366845979604,7719.0
