epoch,learning_rate,train_loss,validation_loss,train_accuracy,validation_accuracy,train_error,validation_error,train_macro_f1,validation_macro_f1
1,0.001,1.1254683070695934,0.952243787019364,0.49717473456901207,0.5586139896373057,0.5028252654309879,0.4413860103626943,0.4534046256946226,0.5203979764730846
2,0.001,0.9344681785457186,0.9018051318554063,0.5906064423249955,0.6547927461139896,0.4093935576750045,0.34520725388601037,0.5710395278311315,0.63257245425093
3,0.001,0.8768560221067796,0.8201160066486023,0.6298722332193629,0.6745466321243523,0.3701277667806371,0.3254533678756477,0.6162414511916453,0.6654597749528743
4,0.001,0.8446125513661652,0.7758393114712572,0.6480475076480116,0.6894430051813472,0.35195249235198844,0.31055699481865284,0.6366337835789718,0.6831403738511647
5,0.001,0.8258778415761107,0.7664270737628245,0.658592765880871,0.6920336787564767,0.341407234119129,0.3079663212435233,0.6520406434947502,0.6834520174074151
6,0.001,0.8061419489487954,0.8034758441188793,0.6658988662947634,0.6460492227979274,0.33410113370523664,0.3539507772020726,0.6632982051358104,0.6039486203392159
7,0.001,0.7912254520558358,0.7835530706637882,0.6775598344430448,0.6968911917098446,0.3224401655569552,0.3031088082901554,0.6720832718923408,0.660416535155919
8,0.001,0.7745968169996115,0.7430622083535466,0.6843980565053086,0.7023963730569949,0.3156019434946914,0.29760362694300513,0.6799106921262068,0.6929269864423346
9,0.001,0.768060463346207,0.7150289126010756,0.6853338132085658,0.7147020725388601,0.3146661867914342,0.2852979274611399,0.6822177744111171,0.7062773433298921
10,0.001,0.7615309426332735,0.7188281200710356,0.6889328774518625,0.7023963730569949,0.3110671225481375,0.29760362694300513,0.6833824210445667,0.7079685762117314
11,0.001,0.7417424416143045,0.7403170509659565,0.6974986503509087,0.6606217616580311,0.30250134964909126,0.3393782383419689,0.6963008277716989,0.6779942434375966
12,0.001,0.74020272043512,0.7275395563229378,0.6976786035630737,0.7043393782383419,0.30232139643692635,0.2956606217616581,0.6967981661644725,0.7090822362753072
13,0.001,0.7277101072590193,0.7077185718506729,0.7033651250674825,0.7137305699481865,0.2966348749325175,0.2862694300518135,0.7014021154217795,0.7133342169632101
14,0.001,0.7216635552159698,0.7140660647283564,0.7081518805110671,0.6884715025906736,0.29184811948893286,0.3115284974093264,0.7046651411254323,0.6968430911052311
15,0.001,0.7154687915943243,0.6984327914183621,0.708295843080799,0.7227979274611399,0.29170415691920104,0.2772020725388601,0.7066878409533964,0.7183032684031377
16,0.001,0.7060398245782373,0.7201959660633858,0.7123987763181573,0.7053108808290155,0.2876012236818427,0.2946891191709845,0.7122079011717874,0.7123719877734765
17,0.001,0.6969060567722317,0.6831810332332868,0.7173294943314739,0.7221502590673575,0.28267050566852614,0.2778497409326425,0.713345351795562,0.7203163598396357
18,0.001,0.6876028485374955,0.7261424534061413,0.7202087457261113,0.7182642487046632,0.27979125427388873,0.2817357512953368,0.717668541592794,0.7042693858071772
19,0.001,0.6811817642208139,0.679866614428209,0.7247075760302322,0.7376943005181347,0.27529242396976783,0.26230569948186533,0.7202813518930712,0.7261676620440174
20,0.001,0.6736935102459078,0.7228513582382795,0.724815547957531,0.7153497409326425,0.275184452042469,0.2846502590673575,0.7214051198734517,0.7190451648766307
21,0.001,0.6622629152874692,0.685434689793562,0.7297102753284146,0.7380181347150259,0.2702897246715854,0.26198186528497414,0.7271438065658233,0.7330557451578861
22,0.001,0.6525375553594983,0.7284716364633234,0.7309699478135685,0.7231217616580311,0.2690300521864315,0.2768782383419689,0.7285547132524522,0.699265341163977
23,0.001,0.656886815539963,0.6644951389243565,0.7285585747705596,0.7448186528497409,0.27144142522944037,0.2551813471502591,0.7287703384222906,0.7420186275174716
24,0.001,0.6523650973311255,0.6831291354999641,0.733669245996041,0.7218264248704663,0.266330754003959,0.27817357512953367,0.7327065705519022,0.7076967480577294
25,0.001,0.6404636537168488,0.7503835413740089,0.7349649091236279,0.7147020725388601,0.2650350908763721,0.2852979274611399,0.7329093321923894,0.690420854843155
26,0.0005,0.6289126068047961,0.6881726482989257,0.7418751124707577,0.7124352331606217,0.25812488752924234,0.28756476683937826,0.7384912364052457,0.7236290671851031
27,0.0005,0.6038021458295775,0.6664670443287786,0.7519884829944214,0.7315414507772021,0.24801151700557855,0.2684585492227979,0.7515295851729775,0.7326247572037107
28,0.0005,0.5908408655501622,0.7027930475269575,0.7534640993341731,0.7380181347150259,0.24653590066582687,0.26198186528497414,0.7509463002096105,0.7239771830684986
